dzielnica,cena,cena_m2,powierzchnia,rok_budowy,wlasnosc,zabudowa,stan,pietro,pietro_max,czynsz,pokoje,material,winda,rynek,ogloszeniodawca,balkon,ogrod,taras,wspolrzedne_szerokosc,wspolrzedne_wysokosc,link,odleglosc_metro,odleglosc_centrum
Białołęka,789000.0,10128.0,77.9,2014.0,building_ownership::full_ownership,building_type-15::block,construction_status-67::ready_to_use,0.0,4.0,850,3.0,building_material::other,1,market::secondary,advertiser_type::private,0,1,1,52.3102751,21.0620732,https://www.otodom.pl/pl/oferta/3-pokoje-ogrodek-zielona-bialoleka-bezposrednio-ID4f7gO,2.190231085675451,9.53050678922432
Bemowo,997500.0,13300.0,75.0,2008.0,building_ownership::full_ownership,building_type-15::block,construction_status-67::ready_to_use,4.0,4.0,950,3.0,building_material::other,1,market::secondary,advertiser_type::agency,1,0,0,52.2588425,20.8979077,https://www.otodom.pl/pl/oferta/mieszkanie-w-stylu-folkowym-miejsce-postojowe-ko-ID4kGzr,2.403245908116508,7.956373879634761
Wola,1176000.0,15273.0,77.0,2023.0,building_ownership::full_ownership,building_type::apartment,construction_status::to_completion,4.0,,,3.0,,0,market::primary,advertiser_type::agency,0,0,0,52.2317856,20.9331341,https://www.otodom.pl/pl/oferta/okazja-cesja-wolala-dantex-sowinskiego-59-ID4kYki,0.9708158009571184,4.965836696150651
Praga-Południe,2222222.0,18215.0,122.0,,,,,,,,1.0,,0,market::primary,advertiser_type::agency,0,0,0,52.2330302,21.068337673233,https://www.otodom.pl/pl/oferta/297-13518-oms-ID4lf7q,2.340516268399729,4.244453043371542
Mokotów,995000.0,16253.0,61.22,1953.0,building_ownership::full_ownership,building_type::tenement,construction_status-67::ready_to_use,1.0,3.0,830,3.0,building_material-69::brick,0,market::secondary,advertiser_type::agency,0,0,0,52.208487,21.04194,https://www.otodom.pl/pl/oferta/3pok-po-remoncie-1953r-ciche-1-3p-przy-lazienkach-ID4kz0p,2.2545995439292676,3.5568747733899317
Ursus,589000.0,7563.0,77.88,2023.0,building_ownership::full_ownership,building_type::ribbon,construction_status::to_completion,2.0,2.0,,3.0,building_material::silikat,0,market::primary,advertiser_type::agency,1,0,1,52.1859552944971,20.860410609448248,https://www.otodom.pl/pl/oferta/mieszkanie-z-tarasem-na-dachu-pow-77-88-m2-ID4k23v,7.071211259931166,11.152368338817373
Bielany,809000.0,13372.0,60.5,1990.0,,,construction_status-67::ready_to_use,5.0,20.0,,3.0,building_material::concrete_plate,1,market::secondary,advertiser_type::agency,1,0,0,52.2808223,20.976774,https://www.otodom.pl/pl/oferta/lux-3-4pokoje-panoramiczny-widok-granica-zoliborza-ID4jEtI,1.0171595427079148,5.8122050435015575
Mokotów,15000000.0,44643.0,336.0,,,building_type::apartment,construction_status::to_completion,2.0,2.0,,6.0,,1,market::secondary,advertiser_type::agency,1,0,1,52.18833,21.03911,https://www.otodom.pl/pl/oferta/apartament-336-m2-z-400-m2-tarasem-na-dachu-ID4cc7M,2.2313004565448233,5.324705268540132
Ursynów,819000.0,13188.0,62.1,1990.0,,building_type::apartment,construction_status-67::ready_to_use,1.0,2.0,710,3.0,building_material-69::brick,0,market::secondary,advertiser_type::agency,0,0,0,52.13785,21.02912,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-ursynow-cicha-okolica-metro-ID4jTTd,1.6053358203834782,10.55571509944612
Mokotów,602100.0,15007.0,40.12,2023.0,building_ownership::full_ownership,,construction_status::to_completion,0.0,3.0,,2.0,,0,market::primary,advertiser_type::agency,0,1,0,52.2057462,21.0745393,https://www.otodom.pl/pl/oferta/ostatnie-wolne-mieszkanie-z-ogrodkiem-bez-prowizji-ID4kKyi,4.4800433741152235,5.487304919121839
Mokotów,1300000.0,25824.0,50.34,2020.0,,building_type::apartment,,2.0,5.0,,2.0,,1,market::secondary,advertiser_type::agency,0,0,0,52.20537,21.03881,https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-na-sprzedaz-ID4iFdN,2.192555696029232,3.683135758359379
Praga-Południe,740000.0,14800.0,50.0,2018.0,building_ownership::full_ownership,building_type::apartment,construction_status-67::ready_to_use,,,650,2.0,,1,market::secondary,advertiser_type::agency,1,0,0,52.2340591,21.1133971,https://www.otodom.pl/pl/oferta/2-pokoje-na-goclawiu-aura-sky-ch-promenada-ID4kZM1,5.039191110145058,7.315156011294266
Praga-Północ,790000.0,16986.0,46.51,2023.0,,building_type::apartment,construction_status::to_completion,3.0,6.0,,2.0,building_material::breezeblock,0,market::primary,advertiser_type::agency,1,0,0,52.2648407058944,21.043236006359862,https://www.otodom.pl/pl/oferta/bohema-praga-cesja-umowy-2-pokoje-46-m2-ID4kL81,0.22083143393734458,4.469030096688182
Bemowo,,,41.76,2024.0,,building_type::apartment,construction_status::to_completion,0.0,4.0,,2.0,,1,market::primary,advertiser_type::developer,0,1,0,52.24016,20.93254,https://www.otodom.pl/pl/oferta/apartament-z-ogrodkiem-lila-garden-m5-ID4iE1C,0.3057453929531051,5.093032970329023
Białołęka,,,86.73,2023.0,,building_type-15::block,construction_status::to_completion,1.0,4.0,,4.0,,1,market::primary,advertiser_type::developer,1,0,0,52.33292,20.94234,https://www.otodom.pl/pl/oferta/odkryty-zakatek-b22-gotowe-mieszkania-ID4boo6,5.340185768530804,12.058675669939126
Wola,470000.0,18077.0,26.0,1955.0,building_ownership::full_ownership,building_type-15::block,construction_status-67::ready_to_use,1.0,3.0,300,1.0,building_material-69::brick,0,market::secondary,advertiser_type::agency,0,0,0,52.2495542,20.9867911,https://www.otodom.pl/pl/oferta/atrakcyjna-kawalerka-na-muranowie-ID4jCUS,1.1695500955099423,2.377433980806136
